symbol,marketcapname,market_cap,industry,sector
BVCL,smallcap,92.39,cement - north india,building materials
KAUSHALYA,smallcap,29.86,hotels,services
STCINDIA,smallcap,710.28,trading,services
KNRCON,smallcap,3711.73,construction,realty
GANDHITUBE,smallcap,1029.58,steel - medium / small,metals & mining
RPGLIFE,smallcap,3626.51,pharmaceuticals - indian - bulk drugs & formln,healthcare
TPHQ,smallcap,54.81,trading,services
LANDSMILL,smallcap,124.14,trading,services
WEWIN,smallcap,0,indices,n/a
MODIS,smallcap,657.09,construction,realty
ASTEC,smallcap,1755.62,pesticides / agrochemicals - indian,chemicals
MWL,smallcap,1130.11,steel - medium / small,metals & mining
PRADPME,smallcap,771.02,castings & forgings,industrials
ROSSELLIND,smallcap,205.9,tea,fmcg
PATELRMART,smallcap,609.66,trading,consumer discretionary
KRITINUT,smallcap,448.28,solvent extraction,fmcg
AHLEAST,smallcap,270.98,hotels,services
SUMEETINDS,smallcap,1543.19,textiles - manmade,textiles
CPCAP,smallcap,175.18,finance & investments,financials
STLNETWORK,smallcap,1394.79,telecommunications - service provider,telecom-service
DDEVPLSTIK,smallcap,2532.59,chemicals,chemicals
KICL,smallcap,2164.1,finance & investments,financials
DHUNINV,smallcap,482.01,finance & investments,financials
MURUDCERA,smallcap,191.2,ceramics - tiles / sanitaryware,building materials
KARMAENG,smallcap,50.88,power generation and supply,power & utilities
KRIDHANINF,smallcap,34.48,trading,services
PAKKA,smallcap,394.33,paper,building materials
EUROPRATIK,smallcap,2651.58,trading,building materials
IVALUE,smallcap,1291.19,computers - hardware,i.t
RUPA,smallcap,1264.36,textiles - products,textiles
DREAMFOLKS,smallcap,391.96,miscellaneous,miscellaneous
GKENERGY,smallcap,2528.32,engineering - turnkey services,realty
VASWANI,smallcap,182.16,steel - sponge iron,metals & mining
DBOL,smallcap,748.32,sugar,fmcg
ATALREAL,smallcap,359.42,construction,realty
STYL,smallcap,4397.07,computers - software - medium / small,i.t
UEL,smallcap,1840.09,power generation and supply,power & utilities
BTML,smallcap,112.83,entertainment / electronic media software,media
THOMASCOTT,smallcap,408.42,textiles - products,consumer discretionary
MTEDUCARE,smallcap,11.34,miscellaneous,services
VSSL,smallcap,2611.96,steel - medium / small,metals & mining
INA,smallcap,2735.32,electric equipment,industrials
RTNINDIA,smallcap,4901.53,finance & investments,financials
NECCLTD,smallcap,152.8,miscellaneous,transportation
SYMPHONY,smallcap,4756.87,domestic appliances,consumer discretionary
TARC,smallcap,3870.19,construction,realty
BUTTERFLY,smallcap,1164.05,domestic appliances,consumer discretionary
FABTECH,smallcap,679.7,trading,services
RSSOFTWARE,smallcap,84.6,computers - software - medium / small,i.t
OMFREIGHT,smallcap,282.4,miscellaneous,transportation
