symbol,marketcapname_x,market_cap_x,industry_x,sector_x,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses,marketcapname_y,market_cap_y,industry_y,sector_y,signal,signal_date,last_close,fib_1d_direction,fib_1d_swing_high,fib_1d_swing_high_at,fib_1d_swing_low,fib_1d_swing_low_at,fib_15m_direction,fib_15m_swing_high,fib_15m_swing_high_at,fib_15m_swing_low,fib_15m_swing_low_at,fib_5m_direction,fib_5m_swing_high,fib_5m_swing_high_at,fib_5m_swing_low,fib_5m_swing_low_at
SPANDANA,smallcap,2262.97,finance & investments,financials,True,,50,160,59.07,53.15,4.0,3.0,1.0,75.0,61.78,11.3,20.59,11.3,38.34,11.3,5.47,12.62,44.2,-3.35,13.2,0.39,0.39,34.76,6.47,-69.92,53.15,123.07,193.75,328.0,61.0,2.0,1.0,smallcap,2262.97,finance & investments,financials,buy,2026-06-23T00:00:00,256.55,down,264.0,2026-06-04 IST,223.3,2026-06-12 IST,down,260.95,2026-06-23 11:15 IST,253.0,2026-06-23 13:45 IST,up,266.35,2026-06-22 12:05 IST,256.75,2026-06-22 11:45 IST
GARUDA,smallcap,1594.92,engineering - turnkey services,realty,True,,10,80,99.82,82.81,3.0,2.0,1.0,66.67,86.66,2.21,43.33,2.21,86.32,2.21,39.13,28.15,45.84,-1.39,32.95,1.13,1.58,17.81,44.55,57.27,82.81,25.54,75.33,194.0,1.0,2.0,1.0,smallcap,1594.92,engineering - turnkey services,realty,buy,2026-06-23T00:00:00,190.12,up,175.65,2026-06-17 IST,158.76,2026-06-11 IST,down,199.89,2026-06-23 11:15 IST,186.55,2026-06-23 13:45 IST,up,192.24,2026-06-23 15:05 IST,186.5,2026-06-23 15:00 IST
TFL,smallcap,67.79,finance & investments,financials,True,,25,40,194.53,189.44,79.0,31.0,48.0,39.24,660.3,379.93,21.3,7.92,158.83,25.44,1.74,3.55,23.13,-7.48,3.09,0.34,0.45,83.96,5.67,-67.14,189.44,256.58,39.66,186.0,1.0,4.0,7.0,smallcap,67.79,finance & investments,financials,buy,2026-06-23T00:00:00,12.39,up,13.98,2026-06-17 IST,11.36,2026-06-04 IST,up,12.47,2026-06-23 12:15 IST,11.82,2026-06-23 10:30 IST,up,12.47,2026-06-23 12:15 IST,11.82,2026-06-23 10:35 IST
SUBROS,smallcap,4705.78,auto ancillaries,auto,True,,10,90,4337.35,4327.37,39.0,18.0,21.0,46.15,752.55,148.32,41.81,7.06,155.76,23.14,5.07,15.49,37.14,-5.74,6.47,0.67,0.96,61.89,19.89,3064.77,4327.37,1262.6,104.72,390.0,1.0,4.0,5.0,smallcap,4705.78,auto ancillaries,auto,buy,2026-06-23T00:00:00,871.05,up,757.85,2026-06-15 IST,695.1,2026-06-11 IST,up,880.0,2026-06-23 14:30 IST,846.7,2026-06-23 13:15 IST,up,880.0,2026-06-23 14:35 IST,850.2,2026-06-23 13:55 IST
GRINFRA,midcap,8619.91,construction,realty,True,,10,20,93.01,82.62,26.0,13.0,13.0,50.0,122.09,51.79,9.39,3.98,27.92,7.97,2.36,2.7,8.42,-3.11,2.71,0.69,0.76,22.19,13.14,-48.37,82.62,130.99,29.42,78.0,2.0,4.0,4.0,midcap,8619.91,construction,realty,buy,2026-06-23T00:00:00,962.7,up,913.0,2026-06-15 IST,830.25,2026-06-12 IST,up,978.85,2026-06-23 09:15 IST,887.0,2026-06-19 13:30 IST,up,905.8,2026-06-18 09:30 IST,877.6,2026-06-18 09:15 IST
DOMS,midcap,13244.62,printing & stationery,miscellaneous,True,,10,50,74.07,61.15,8.0,4.0,4.0,50.0,87.15,17.31,21.79,4.33,80.6,7.88,5.03,8.73,14.97,-4.35,3.44,0.86,1.06,18.82,21.42,58.18,61.15,2.97,61.12,214.0,7.0,3.0,3.0,midcap,13244.62,printing & stationery,miscellaneous,buy,2026-06-23T00:00:00,2301.1,up,2381.8,2026-06-18 IST,2061.6,2026-06-08 IST,up,2337.3,2026-06-23 09:15 IST,2262.0,2026-06-22 15:15 IST,up,2337.3,2026-06-23 09:25 IST,2262.0,2026-06-22 15:25 IST
TATACHEM,midcap,18803.56,chemicals,chemicals,True,,5,20,10148.56,10138.23,225.0,100.0,125.0,44.44,1145.68,538.6,11.46,4.31,85.07,18.93,2.13,2.7,10.0,-2.94,3.4,0.69,0.81,58.67,16.43,9260.08,10138.23,878.15,26.67,112.0,1.0,8.0,7.0,midcap,18803.56,chemicals,chemicals,buy,2026-06-23T00:00:00,730.7,down,762.9,2026-06-12 IST,724.45,2026-06-16 IST,up,762.5,2026-06-12 09:15 IST,731.35,2026-06-11 13:45 IST,up,762.5,2026-06-12 09:25 IST,738.1,2026-06-11 15:10 IST
PVRINOX,midcap,9690.86,entertainment / electronic media software,media,True,,5,20,721.23,713.55,152.0,57.0,95.0,37.5,734.52,419.98,12.89,4.42,70.38,14.2,1.75,2.07,9.68,-3.5,2.76,0.51,0.64,49.79,10.81,269.65,713.55,443.9,26.24,153.0,1.0,6.0,9.0,midcap,9690.86,entertainment / electronic media software,media,buy,2026-06-23T00:00:00,973.15,down,999.5,2026-06-05 IST,934.2,2026-06-11 IST,down,989.5,2026-06-08 09:15 IST,959.05,2026-06-08 09:15 IST,up,989.5,2026-06-08 09:25 IST,959.05,2026-06-08 09:15 IST
MACPOWER,midcap,7789.57,engineering,industrials,True,,5,40,1721.39,1704.16,26.0,13.0,13.0,50.0,514.16,73.83,39.55,5.68,186.12,16.84,6.96,16.94,35.26,-4.42,7.98,1.15,1.44,27.32,42.27,552.29,1704.16,1151.87,52.04,187.0,1.0,3.0,4.0,midcap,7789.57,engineering,industrials,buy,2026-06-23T00:00:00,1180.15,up,1037.4,2026-06-15 IST,958.0,2026-06-11 IST,down,1188.0,2026-06-23 10:45 IST,1150.1,2026-06-23 12:00 IST,down,1188.0,2026-06-23 10:50 IST,1150.1,2026-06-23 12:10 IST
WESTLIFE,midcap,6546.98,hotels,consumer discretionary,True,,10,30,105.15,97.08,30.0,11.0,19.0,36.67,178.1,82.98,16.19,4.37,59.19,12.62,2.15,3.17,10.52,-3.94,2.67,0.54,0.71,50.29,10.5,58.24,97.08,38.84,44.37,182.0,1.0,3.0,5.0,midcap,6546.98,hotels,consumer discretionary,buy,2026-06-23T00:00:00,485.0,up,482.4,2026-06-16 IST,421.2,2026-06-11 IST,down,501.85,2026-06-23 09:30 IST,483.5,2026-06-23 10:15 IST,up,501.85,2026-06-23 09:35 IST,482.05,2026-06-22 15:10 IST
UNIONBANK,largecap,124183.5,banks - public sector,bank,True,,15,50,2547.88,2539.17,59.0,27.0,32.0,45.76,809.93,285.3,30.0,8.92,120.66,20.93,2.84,8.89,26.63,-7.29,3.65,0.58,0.67,76.74,14.81,1805.07,2539.17,734.1,78.24,299.0,2.0,5.0,8.0,largecap,124183.5,banks - public sector,bank,buy,2026-06-23T00:00:00,175.04,up,177.6,2026-06-18 IST,162.92,2026-06-11 IST,up,173.78,2026-06-15 09:15 IST,166.4,2026-06-12 12:15 IST,down,170.61,2026-06-08 09:30 IST,163.51,2026-06-08 10:25 IST
ESCORTS,largecap,30769.74,automobiles - tractors,auto,True,,5,30,18183.43,18173.44,166.0,63.0,103.0,37.95,1405.7,548.9,22.31,5.33,240.79,21.0,2.56,5.16,17.19,-4.4,3.91,0.67,0.79,62.85,18.67,5100.84,18173.44,13072.61,34.7,191.0,1.0,5.0,8.0,largecap,30769.74,automobiles - tractors,auto,buy,2026-06-23T00:00:00,2954.6,up,2903.7,2026-06-16 IST,2707.8,2026-06-11 IST,up,2902.7,2026-06-16 10:00 IST,2796.2,2026-06-15 15:15 IST,up,2902.7,2026-06-16 10:00 IST,2796.2,2026-06-15 15:25 IST
GODREJIND,largecap,35677.74,chemicals,chemicals,True,,5,30,33857.43,33844.03,132.0,56.0,76.0,42.42,1280.31,392.91,22.86,5.17,133.58,14.95,3.26,6.72,17.34,-3.73,4.65,0.89,1.24,52.33,27.57,44390.14,33844.03,-10546.12,35.71,155.0,1.0,6.0,10.0,largecap,35677.74,chemicals,chemicals,buy,2026-06-23T00:00:00,1130.7,up,1145.0,2026-06-19 IST,1044.1,2026-06-18 IST,up,1136.2,2026-06-22 11:15 IST,1094.4,2026-06-19 15:00 IST,up,1131.2,2026-06-19 15:15 IST,1094.4,2026-06-19 15:00 IST
LICHSGFIN,largecap,29428.37,finance - housing,financials,True,,15,30,4178.98,4168.62,106.0,46.0,60.0,43.4,933.31,346.89,20.29,5.78,171.08,23.82,2.69,5.53,14.6,-4.84,3.01,0.69,0.84,52.4,16.99,5512.27,4168.62,-1343.64,45.3,160.0,5.0,4.0,8.0,largecap,29428.37,finance - housing,financials,buy,2026-06-23T00:00:00,541.9,up,570.75,2026-06-15 IST,523.55,2026-06-03 IST,down,568.95,2026-06-15 11:00 IST,551.1,2026-06-15 15:15 IST,up,568.4,2026-05-14 11:40 IST,547.35,2026-05-14 11:05 IST
HDBFS,largecap,53863.33,finance & investments,financials,True,,50,100,7.03,1.72,2.0,2.0,0.0,100.0,1.72,0.0,0.86,0.0,1.11,0.0,,0.86,1.66,-1.58,1.05,0.35,0.17,2.62,1.86,-23.46,1.72,25.18,14.5,21.0,8.0,2.0,0.0,largecap,53863.33,finance & investments,financials,buy,2026-06-23T00:00:00,733.5,up,719.15,2026-06-16 IST,611.45,2026-06-10 IST,up,744.5,2026-06-23 10:15 IST,720.4,2026-06-22 15:00 IST,up,732.8,2026-06-19 15:25 IST,698.35,2026-06-19 15:00 IST
MRF,largecap,52884.93,tyres,auto,True,,5,70,21613.0,21598.14,76.0,35.0,41.0,46.05,919.44,159.34,26.27,3.89,199.56,11.01,5.77,10.0,20.32,-2.74,7.43,0.99,1.39,35.62,25.21,15190.91,21598.14,6407.23,65.99,301.0,1.0,3.0,9.0,largecap,52884.93,tyres,auto,buy,2026-06-23T00:00:00,131270.0,up,131795.0,2026-06-15 IST,122050.0,2026-06-11 IST,up,131740.0,2026-06-15 09:30 IST,125300.0,2026-06-12 15:15 IST,up,131740.0,2026-06-15 09:40 IST,125300.0,2026-06-12 15:25 IST
ICICIBANK,largecap,878259.41,banks - private sector,bank,True,,10,140,4699.94,4688.73,35.0,18.0,17.0,51.43,642.47,96.15,35.69,5.66,117.52,12.83,6.68,15.61,32.86,-4.94,6.65,0.75,1.0,37.51,17.55,6917.07,4688.73,-2228.34,167.66,620.0,5.0,3.0,3.0,largecap,878259.41,banks - private sector,bank,buy,2026-06-23T00:00:00,1337.2,up,1362.7,2026-06-15 IST,1213.7,2026-06-03 IST,up,1327.8,2026-06-11 11:30 IST,1287.7,2026-06-11 09:15 IST,up,1323.6,2026-04-10 10:25 IST,1276.6,2026-04-09 15:05 IST
LTF,largecap,67793.73,finance & investments,financials,True,,10,50,558.32,548.93,43.0,17.0,26.0,39.53,445.76,174.52,26.22,6.71,72.62,24.02,2.55,6.31,19.24,-5.17,3.72,0.63,0.72,50.47,13.46,564.27,548.93,-15.34,66.02,241.0,4.0,3.0,7.0,largecap,67793.73,finance & investments,financials,buy,2026-06-23T00:00:00,286.25,down,297.3,2026-06-15 IST,282.4,2026-06-19 IST,down,295.8,2026-06-18 09:15 IST,284.6,2026-06-18 11:45 IST,up,296.5,2026-06-15 09:20 IST,275.2,2026-06-12 15:25 IST
