symbol,marketcapname_x,market_cap_x,industry_x,sector_x,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses,marketcapname_y,market_cap_y,industry_y,sector_y,signal,signal_date,last_close,fib_1d_direction,fib_1d_swing_high,fib_1d_swing_high_at,fib_1d_swing_low,fib_1d_swing_low_at,fib_15m_direction,fib_15m_swing_high,fib_15m_swing_high_at,fib_15m_swing_low,fib_15m_swing_low_at,fib_5m_direction,fib_5m_swing_high,fib_5m_swing_high_at,fib_5m_swing_low,fib_5m_swing_low_at
NIPPOBATRY,smallcap,275.89,dry cells,industrials,True,,35,170,34.09,26.76,5.0,2.0,3.0,40.0,30.92,4.89,15.46,1.63,19.11,1.72,6.32,5.2,11.56,-1.45,7.95,0.49,0.52,14.96,173.79,17.11,26.76,9.65,8.8,20.0,2.0,1.0,2.0,smallcap,275.89,dry cells,industrials,sell,2026-06-22T15:15:00+05:30,355.45,up,373.95,2026-06-17 IST,325.05,2026-06-12 IST,up,361.95,2026-06-22 11:00 IST,340.5,2026-06-22 09:15 IST,up,356.9,2026-06-22 09:20 IST,340.5,2026-06-22 09:15 IST
IVALUE,smallcap,1291.19,computers - hardware,i.t,True,,5,10,15.35,10.62,53.0,16.0,37.0,30.19,44.15,32.53,2.76,0.88,11.44,3.17,1.36,0.22,1.52,-0.7,2.17,0.32,0.32,10.4,53.53,3.41,10.62,7.21,0.79,5.0,0.0,2.0,7.0,smallcap,1291.19,computers - hardware,i.t,sell,2026-06-22T15:15:00+05:30,273.5,down,240.0,2026-06-10 IST,226.98,2026-06-11 IST,up,281.45,2026-06-22 11:15 IST,272.0,2026-06-22 10:00 IST,up,281.45,2026-06-22 11:25 IST,272.0,2026-06-22 10:05 IST
TERASOFT,smallcap,538.14,computers - software - medium / small,i.t,True,,30,60,53.02,41.74,6.0,2.0,4.0,33.33,48.18,7.52,24.09,1.88,34.31,2.79,6.4,6.78,11.92,-2.1,5.68,0.75,0.74,10.53,339.99,27.1,41.74,14.65,7.5,19.0,1.0,1.0,3.0,smallcap,538.14,computers - software - medium / small,i.t,buy,2026-06-22T15:15:00+05:30,424.75,up,450.3,2026-06-16 IST,415.5,2026-06-11 IST,up,427.6,2026-06-22 12:45 IST,411.0,2026-06-22 11:00 IST,up,418.8,2026-06-19 13:20 IST,406.2,2026-06-19 13:05 IST
MUNJALSHOW,smallcap,508.98,auto ancillaries,auto,True,,10,50,22.15,15.27,11.0,4.0,7.0,36.36,21.43,6.6,5.36,0.94,6.85,1.53,3.25,1.35,3.58,-0.89,4.03,0.46,0.45,5.3,82.86,2.22,15.27,13.05,3.82,11.0,0.0,2.0,3.0,smallcap,508.98,auto ancillaries,auto,sell,2026-06-22T15:15:00+05:30,129.25,down,133.0,2026-06-10 IST,126.33,2026-06-11 IST,down,141.03,2026-05-29 13:30 IST,128.6,2026-06-01 09:45 IST,down,140.96,2026-05-29 15:00 IST,128.6,2026-06-01 09:45 IST
MOKSH,smallcap,103.25,diamond cutting / jewellery,consumer discretionary,True,,20,120,49.29,40.2,2.0,2.0,0.0,100.0,36.85,0.0,18.42,0.0,20.57,0.0,,18.42,27.91,-0.31,89.96,0.61,0.66,9.26,319.97,1.37,40.2,38.83,15.5,16.0,15.0,2.0,0.0,smallcap,103.25,diamond cutting / jewellery,consumer discretionary,sell,2026-06-22T15:15:00+05:30,11.84,up,12.95,2026-06-18 IST,11.7,2026-06-17 IST,down,12.3,2026-06-22 10:30 IST,11.3,2026-06-22 14:45 IST,down,12.16,2026-06-22 14:45 IST,11.3,2026-06-22 14:50 IST
NIFTY1,smallcap,0.0,indices,,True,,5,10,17.56,8.8,48.0,19.0,29.0,39.58,17.68,9.06,0.93,0.31,3.79,1.64,1.95,0.18,0.61,-0.22,2.74,0.58,0.66,2.88,43.06,-3.39,8.8,12.18,0.88,6.0,0.0,3.0,5.0,smallcap,0.0,indices,,sell,2026-06-22T15:15:00+05:30,266.57,down,266.89,2026-05-26 IST,250.49,2026-06-08 IST,up,263.85,2026-04-08 09:45 IST,252.75,2026-04-07 13:00 IST,up,263.85,2026-04-08 09:50 IST,253.56,2026-04-07 14:40 IST
JNKINDIA,smallcap,2022.17,engineering - turnkey services,realty,True,,5,80,101.55,84.93,14.0,4.0,10.0,28.57,81.32,8.56,20.33,0.86,50.07,1.65,9.51,5.2,8.98,-0.74,12.1,1.11,1.37,8.45,1261.4,73.23,84.93,11.7,3.07,23.0,0.0,2.0,5.0,smallcap,2022.17,engineering - turnkey services,realty,sell,2026-06-22T15:15:00+05:30,475.5,down,519.0,2026-06-15 IST,464.8,2026-06-18 IST,down,491.45,2026-06-22 09:15 IST,476.3,2026-06-22 09:15 IST,down,491.45,2026-06-22 09:15 IST,476.3,2026-06-22 09:25 IST
OCCLLTD,smallcap,565.29,chemicals,chemicals,True,,40,200,34.99,28.4,4.0,2.0,2.0,50.0,33.75,5.99,16.87,2.99,20.6,3.89,5.64,6.94,14.64,-1.69,8.67,0.44,0.78,10.52,189.08,35.64,28.4,-7.24,14.25,34.0,3.0,1.0,1.0,smallcap,565.29,chemicals,chemicals,buy,2026-06-22T15:15:00+05:30,130.85,down,139.0,2026-06-16 IST,124.2,2026-06-18 IST,up,130.7,2026-06-22 10:30 IST,126.5,2026-06-22 09:15 IST,down,131.4,2026-06-22 09:25 IST,127.2,2026-06-22 09:45 IST
BONLON,smallcap,71.76,trading,services,True,,30,120,44.99,36.79,2.0,1.0,1.0,50.0,39.42,1.89,39.42,1.89,39.42,1.89,20.89,18.77,26.74,-2.2,12.16,0.55,0.47,8.54,278.32,9.16,36.79,27.63,19.5,36.0,3.0,1.0,1.0,smallcap,71.76,trading,services,sell,2026-06-22T15:15:00+05:30,44.1,up,48.49,2026-06-17 IST,39.8,2026-06-09 IST,down,45.37,2026-06-22 10:45 IST,43.76,2026-06-22 12:00 IST,down,45.37,2026-06-22 10:55 IST,43.76,2026-06-22 12:05 IST
NDTV,smallcap,927.87,entertainment / electronic media software,media,True,,50,170,24.15,18.05,4.0,2.0,2.0,50.0,23.77,5.62,11.88,2.81,16.16,3.98,4.23,4.54,10.0,-1.99,5.03,0.41,0.48,13.59,102.36,8.06,18.05,10.0,9.75,24.0,1.0,1.0,2.0,smallcap,927.87,entertainment / electronic media software,media,buy,2026-06-22T15:15:00+05:30,82.84,up,83.8,2026-06-16 IST,77.31,2026-06-11 IST,down,83.84,2026-06-22 09:15 IST,81.09,2026-06-22 11:00 IST,up,83.84,2026-06-22 09:15 IST,80.8,2026-06-19 15:25 IST
TAKE,smallcap,452.97,miscellaneous,healthcare,True,,25,40,56.1,38.28,2.0,2.0,0.0,100.0,35.28,0.0,17.64,0.0,20.84,0.0,,17.64,24.95,0.0,,1.19,0.94,9.57,296.16,-24.54,38.28,62.82,20.5,28.0,13.0,2.0,0.0,smallcap,452.97,miscellaneous,healthcare,buy,2026-06-22T15:15:00+05:30,30.45,down,30.75,2026-06-15 IST,28.36,2026-06-18 IST,up,29.9,2026-06-22 12:30 IST,28.9,2026-06-22 09:45 IST,up,30.02,2026-06-22 11:30 IST,28.9,2026-06-22 09:55 IST
MBEL,smallcap,1687.3,construction,realty,True,,5,10,28.31,21.6,49.0,16.0,33.0,32.65,61.32,38.09,3.83,1.15,22.91,7.88,1.61,0.47,1.97,-0.88,2.24,0.45,0.42,14.8,129.48,-9.96,21.6,31.57,0.82,6.0,0.0,2.0,10.0,smallcap,1687.3,construction,realty,buy,2026-06-22T15:15:00+05:30,311.55,up,318.95,2026-06-15 IST,265.0,2026-06-11 IST,down,325.5,2026-06-19 10:30 IST,309.2,2026-06-19 13:15 IST,down,325.5,2026-06-19 10:35 IST,313.45,2026-06-19 11:15 IST
HATHWAY,smallcap,1890.47,telecommunications - service provider,telecom-service,True,,5,10,39.11,26.65,49.0,22.0,27.0,44.9,34.96,10.73,1.59,0.4,6.51,1.37,3.26,0.49,1.43,-0.25,5.72,0.83,0.77,3.85,172.79,8.48,26.65,18.17,0.8,5.0,0.0,4.0,6.0,smallcap,1890.47,telecommunications - service provider,telecom-service,sell,2026-06-22T15:15:00+05:30,12.2,up,11.46,2026-06-15 IST,10.3,2026-06-11 IST,up,12.56,2026-06-22 09:30 IST,12.1,2026-06-19 15:15 IST,up,12.56,2026-06-22 09:35 IST,12.1,2026-06-19 15:20 IST
KABRAEXTRU,smallcap,806.05,engineering,industrials,True,,5,20,34.8,25.29,29.0,10.0,19.0,34.48,37.97,14.24,3.8,0.75,8.39,3.08,2.67,0.82,2.46,-0.6,4.13,0.63,0.73,8.78,160.5,-1.98,25.29,27.26,1.21,5.0,0.0,3.0,8.0,smallcap,806.05,engineering,industrials,buy,2026-06-22T15:15:00+05:30,242.5,down,249.98,2026-06-17 IST,232.35,2026-06-18 IST,up,243.89,2026-06-22 09:15 IST,235.01,2026-06-19 15:15 IST,up,243.89,2026-06-22 09:15 IST,235.01,2026-06-19 15:25 IST
SEYAIND,smallcap,39.83,chemicals,chemicals,True,,15,70,50.15,33.85,5.0,1.0,4.0,20.0,46.61,9.0,46.61,2.25,46.61,2.69,5.18,7.52,11.74,-2.65,4.43,1.09,0.67,13.66,244.91,65.46,33.85,-31.61,10.2,47.0,0.0,1.0,4.0,smallcap,39.83,chemicals,chemicals,sell,2026-06-22T15:15:00+05:30,13.22,up,13.43,2026-06-16 IST,12.69,2026-06-15 IST,up,13.53,2026-06-19 12:30 IST,12.81,2026-06-18 12:15 IST,up,13.52,2026-06-19 11:45 IST,12.83,2026-06-18 11:00 IST
LFIC,smallcap,42.77,finance & investments,financials,True,,10,130,5.89,3.54,6.0,2.0,4.0,33.33,13.02,8.66,6.51,2.17,12.28,5.45,1.5,0.73,7.61,-1.84,4.14,0.16,0.19,19.07,15.91,8.26,3.54,-4.72,5.5,18.0,0.0,1.0,4.0,smallcap,42.77,finance & investments,financials,buy,2026-06-22T15:15:00+05:30,149.64,up,161.1,2026-06-17 IST,137.61,2026-06-12 IST,down,153.49,2026-06-18 15:15 IST,146.1,2026-06-19 12:00 IST,down,153.49,2026-06-18 15:25 IST,146.1,2026-06-19 12:10 IST
