symbol,marketcapname,market_cap,industry,sector,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses
SUVIDHAA,smallcap,56.23,miscellaneous,i.t,True,,50.0,190.0,16.76525672214456,12.741319423189035,1.0,1.0,0.0,100.0,12.741319423189035,0.0,12.741319423189035,0.0,12.741319423189035,0.0,,12.741319423189035,32.432439398643886,0.0,,0.268262486597035,0.17020471737777992,14.868804097296184,66.41858548726086,-4.9645343900631245,12.741319423189035,17.70585381325216,16.0,16.0,16.0,1.0,0.0
DHARMAJ,smallcap,965.93,pesticides / agrochemicals - indian,chemicals,True,,50.0,150.0,16.052845564193937,11.433629096631481,4.0,2.0,2.0,50.0,14.547649062888478,3.0180343037611745,7.273824531444239,1.5090171518805873,11.76884208047586,1.6578726441872194,4.82023979805621,2.882403689781826,8.758750673775683,-2.110864538257584,4.149366534436931,0.3079477645041638,0.3173760725370928,11.487611520717401,58.37349164692678,9.158757768992087,11.433629096631481,2.274871327639394,12.25,22.0,3.0,1.0,2.0
ORIENTCEM,smallcap,2826.31,cement - south india,building materials,True,,25.0,30.0,17.181857583456605,11.48312956392079,10.0,4.0,6.0,40.0,15.86559056852499,4.548940854902317,3.966397642131247,0.7581568091503862,6.280463143041626,2.2484971580882362,3.487754858678127,1.1316649713622673,3.9433349890482994,-1.0398351785699544,3.792269265665177,0.3799152013023876,0.35312711687340004,8.341504072169537,58.67249805447974,-8.146262038020257,11.48312956392079,19.629391601941048,4.2,12.0,1.0,2.0,2.0
UNIPARTS,smallcap,2704.98,engineering,industrials,True,,15.0,150.0,40.726073516466904,32.34450295549189,5.0,3.0,2.0,60.0,32.47568073761518,2.53457887819335,10.825226912538392,1.267289439096675,16.57779081237929,1.716694472522684,12.813047965097805,5.988220371884365,9.940399778920925,-1.4345285381800466,6.929384473265399,0.5587713707316675,0.9429597391432407,8.441964983400974,228.77312481191524,36.289373433403085,32.34450295549189,-3.944870477911195,11.6,21.0,1.0,3.0,2.0
ANIKINDS,smallcap,123.5,trading,services,True,,40.0,60.0,13.652004279985968,10.127007556350765,5.0,2.0,3.0,40.0,20.44931420694789,8.99812090787918,10.224657103473945,2.9993736359597274,19.189185065192138,4.687149911271293,2.2726205189176225,2.290238659813741,8.06960585786808,-3.825478160044997,2.1094371788997903,0.2349997815756802,0.2087486130027452,16.194699593425778,50.635394438022274,6.075218142656258,10.127007556350765,4.051789413694507,7.8,15.0,1.0,1.0,2.0
LANDMARK,smallcap,1547.89,trading,consumer discretionary,True,,50.0,200.0,27.21021415071776,19.68097585407056,3.0,2.0,1.0,66.66666666666666,21.274697330816593,2.1739099157513375,10.637348665408297,2.1739099157513375,13.200159882612162,2.1739099157513375,9.786374852365363,6.366929138355084,11.079713899774802,-2.96162813282886,3.741088821030271,0.5019492197764799,0.5661688061004772,10.412739674067339,114.47661658397817,15.200001683728459,19.68097585407056,4.480974170342101,13.0,30.0,2.0,1.0,1.0
NKIND,smallcap,38.76,solvent extraction,fmcg,True,,50.0,60.0,1.6842326796504241,-0.10870756309204754,3.0,1.0,2.0,33.33333333333333,4.369225135216337,4.336677840449665,4.369225135216337,2.1683389202248327,4.369225135216337,2.4531898045860534,1.0075051216539748,0.010849098255556688,4.943589430588939,-3.1095715371028025,1.589797620541284,0.11952934951616477,0.10957166363856621,13.300971366913462,-0.4608769491296294,4.761904761904767,-0.10870756309204754,-4.870612324996815,8.0,15.0,4.0,1.0,2.0
JAMNAAUTO,smallcap,4823.31,auto ancillaries,auto,True,,25.0,40.0,0.6784281225136862,0.12910253293831886,13.0,2.0,11.0,15.384615384615385,15.574983347475978,14.67718411581329,7.787491673737989,1.3342894650739354,9.89688517381464,3.6516860682181407,1.0611697192444014,0.06906147935866835,3.3464049099926574,-1.5091210843837055,2.217452890043784,0.036621705971691156,0.03445703624610955,14.232905524175532,0.5494608592393924,-5.049948359263268,0.12910253293831886,5.1790508922015865,3.230769230769231,13.0,0.0,1.0,6.0
JAYBARMARU,smallcap,1365.47,auto ancillaries,auto,True,,25.0,50.0,54.0128800685335,45.41503758936094,12.0,3.0,9.0,25.0,57.822734404908104,14.01584602894923,19.274244801636033,1.5573162254388033,34.59683389757788,2.9820393381342902,4.125525800260456,3.650574031329906,6.802991499213738,-1.7796493145190173,3.8226584550745444,0.5731894986115038,0.9456414495359384,12.076263606944238,390.4750363522706,34.46790284388299,45.41503758936094,10.947134745477953,3.1666666666666665,20.0,0.0,2.0,5.0
SUYOG,smallcap,902.45,transmisson line towers / equipment,telecom,True,,25.0,70.0,15.764718519902651,11.350133335104795,8.0,1.0,7.0,12.5,26.75294920041187,12.75583659492565,26.75294920041187,1.8222623707036643,26.75294920041187,4.510120350623614,2.0973104352131915,1.7496390756857774,6.10655698576428,-1.8215811651925846,3.352338672824755,0.2943056789865237,0.292390182264144,12.617573806776239,57.87011382698515,3.2323726850762124,11.350133335104795,8.117760650028583,4.875,15.0,1.0,1.0,6.0
