symbol,marketcapname,market_cap,industry,sector,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses
RKSWAMY,smallcap,508.1,miscellaneous,miscellaneous,True,,40.0,190.0,16.155353886829374,3.7021698907330425,1.0,1.0,0.0,100.0,3.7021698907330425,0.0,3.7021698907330425,0.0,3.7021698907330425,0.0,,3.7021698907330425,3.7021698907330425,0.0,,0.830212266406422,0.0,1.2126837225369114,1.6425313369298866,-60.96068558550264,3.7021698907330425,64.66285547623568,7.0,7.0,7.0,1.0,0.0
JGCHEM,smallcap,1689.9,chemicals,chemicals,True,,45.0,70.0,107.72965225557468,93.13099305220047,4.0,3.0,1.0,75.0,88.22484242898864,10.101257906262173,29.40828080966288,10.101257906262173,40.483336753207325,10.101257906262173,8.73404513058661,19.530896130681615,32.05347085039823,-9.483837706824811,3.3797995960360785,0.9732439468916142,1.4288566543753702,25.581794417099612,34.35834948208323,126.30139779004202,93.13099305220047,-33.17040473784155,89.5,140.0,40.0,2.0,1.0
INDOSTAR,smallcap,3666.9,finance & investments,financials,True,,25.0,60.0,70.80052254472862,65.38237133513896,20.0,12.0,8.0,60.0,131.02099028134026,63.39120474845529,10.918415856778353,7.923900593556912,43.36125005926385,11.604427244903093,2.0668638622857687,3.3814892766442464,13.555540824437054,-7.010194667064781,1.933689643188305,0.36121008063931115,0.41025686754016955,45.20966783628093,6.456373332235499,-59.44653166533209,65.38237133513896,124.82890300047104,63.6,172.0,1.0,6.0,5.0
HEADSUP,smallcap,15.72,trading,consumer discretionary,True,,30.0,80.0,-15.885409671589088,-17.218257148628847,13.0,4.0,9.0,30.76923076923077,45.25316604159866,55.52844147465912,11.313291510399665,6.16982683051768,36.879423509978615,13.194442144882467,0.8149547302214547,-0.7904058025431122,29.902323714108228,-8.10172009706374,3.690861120337341,0.08885649846931729,0.08817996750354387,49.063829051824456,-1.974993755408938,-96.76857858848336,-17.218257148628847,79.55032143985451,82.15384615384616,148.0,29.0,1.0,3.0
MEGASTAR,smallcap,348.86,food - processing - indian,fmcg,True,,20.0,30.0,336.5016755520065,319.99450114899463,19.0,13.0,6.0,68.42105263157895,190.69324882294666,26.66046843906549,14.668711447918973,4.443411406510915,37.95930552409585,9.52913203623803,7.152659348757898,8.633304230730587,18.586581179724753,-3.2580639605779766,5.704793216038495,1.1004782935341244,1.5662710543588192,26.6198627794326,39.6347321744587,171.76212529253854,319.99450114899463,148.2323758564561,38.421052631578945,86.0,1.0,5.0,1.0
SVLL,smallcap,753.53,miscellaneous,transportation,True,,40.0,80.0,2154.5973627677517,2132.7685010733826,8.0,7.0,1.0,87.5,495.89068047585295,1.8472907098212255,70.84152578226471,1.8472907098212255,247.97564650486322,1.8472907098212255,268.4421449420073,61.75542372075397,75.47679844087061,-2.729660428018399,27.65061824765621,1.4552574462912875,1.6784239979282074,23.214863534374118,47.692669835620435,2016.6982584790737,2132.7685010733826,116.07024259430887,241.75,603.0,3.0,6.0,1.0
ASIANHOTNR,smallcap,1310.76,hotels,services,True,,15.0,50.0,4187.999997508277,4177.710032178837,62.0,24.0,38.0,38.70967741935484,753.1341641447306,203.15623183630464,31.380590172697108,5.346216627271175,135.14852077241198,15.643509584433179,3.707167421531901,8.870611811426224,22.000256034803737,-5.265808949449839,4.177944214459638,0.6859976886293896,0.7799179325418816,48.165478210751466,16.995546347290723,351.2951219100524,4177.710032178837,3826.4149102687843,64.91935483870968,302.0,1.0,3.0,6.0
NGIL,smallcap,73.22,food - processing - indian,fmcg,True,,5.0,30.0,111.85846475078414,102.3752195717027,20.0,3.0,17.0,15.0,210.58022678658392,80.70797661324673,70.1934089288613,4.747528036073336,112.3185161567084,13.630414177068284,2.609162509372352,6.493612508666859,21.154064871221205,-4.589302545220926,4.6094291371681315,0.6322163452720954,0.7165423644260845,57.90466650840287,15.850899216541814,-35.75167454983343,102.3752195717027,138.12689412153614,27.75,62.0,2.0,1.0,9.0
NIFTY1,smallcap,0.0,indices,,True,,5.0,40.0,327.3479820334285,313.47799800111017,66.0,34.0,32.0,51.515151515151516,228.62681000436137,70.77358220940506,6.724317941304746,2.211674444043908,27.509906653931694,6.472209666979412,3.2303975984697195,2.3917155726508534,6.095308941064807,-1.5316497223654353,3.9795710808156506,0.9246656021545542,1.0423422086759544,15.106448345413659,9.08676392224419,458.2961625295558,313.47799800111017,-144.8181645284456,56.75757575757576,232.0,1.0,6.0,4.0
VEEDOL,smallcap,2473.69,chemicals,chemicals,True,,5.0,90.0,3569.830727743582,3558.0258480439065,49.0,20.0,29.0,40.816326530612244,656.9201155457148,115.61300631802382,32.84600577728573,3.9866553902766837,141.42233812231612,13.718885012916749,5.682060664858797,11.04708386178961,26.922374444400894,-3.304703870938579,8.146682878655202,0.7869919799783733,1.1405089651269953,56.43958063854719,20.40549601205546,2349.9289570738865,3558.0258480439065,1208.09689097002,77.89795918367346,475.0,1.0,3.0,9.0
